Amino acid,Short,Abbrev.,Side chain,Hydro- phobic,pKa§,Polar,pH,Small,Tiny,Aromatic or Aliphatic,van der Waals volume (Å3)
Alanine,A,Ala,-CH3,X,-,-,-,X,X,Aliphatic,67
Cysteine,C,Cys,-CH2SH,X,8.55,-,acidic,X,X,-,86
Aspartic acid,D,Asp,-CH2COOH,-,3.67,X,acidic,X,-,-,91
Glutamic acid,E,Glu,-CH2CH2COOH,-,4.25,X,acidic,-,-,-,109
Phenylalanine,F,Phe,-CH2C6H5,X,-,-,-,-,-,Aromatic,135
Glycine,G,Gly,-H,X,-,-,-,X,X,-,48
Histidine,H,His,-CH2-C3H3N2,-,6.54,X,weak basic,-,-,Aromatic,118
Isoleucine,I,Ile,-CH(CH3)CH2CH3,X,-,-,-,-,-,Aliphatic,124
Lysine,K,Lys,-(CH2)4NH2,-,10.40,X,basic,-,-,-,135
Leucine,L,Leu,-CH2CH(CH3)2,X,-,-,-,-,-,Aliphatic,124
Methionine,M,Met,-CH2CH2SCH3,X,-,-,-,-,-,Aliphatic,124
Asparagine,N,Asn,-CH2CONH2,-,-,X,-,X,-,-,96
Pyrrolysine,O,Pyl,-(CH2)4NHCOC4H5NCH3,-,N.D.,X,weak basic,-,-,-,
Proline,P,Pro,-CH2CH2CH2-,X,-,-,-,X,-,-,90
Glutamine,Q,Gln,-CH2CH2CONH2,-,-,X,-,-,-,-,114
Arginine,R,Arg,-(CH2)3NH-C(NH)NH2,-,12.3,X,strongly basic,-,-,-,148
Serine,S,Ser,-CH2OH,-,-,X,-,X,X,-,73
Threonine,T,Thr,-CH(OH)CH3,-,-,X,-,X,-,-,93
Selenocysteine,U,Sec,-CH2SeH,-,5.43,-,acidic,X,X,-,
Valine,V,Val,-CH(CH3)2,X,-,-,-,X,-,Aliphatic,105
Tryptophan,W,Trp,-CH2C8H6N,-,-,X,-,-,-,Aromatic,163
Tyrosine,Y,Tyr,-CH2-C6H4OH,-,9.84,X,weak acidic,-,-,Aromatic,141

